id,source_rel,source_ext,output_rel,status,output_size,source_sha256,output_sha256
1,01_phap_quy/001_Bo_luat_Dan_su_91-2015-QH13.pdf,.pdf,01_phap_quy/001_Bo_luat_Dan_su_91-2015-QH13.docx,converted_pdf_text_layout,130974,b8703906de3ae5149335b00aba17d02eca1b6f408b6308de51d1d920420ff603,82560652a4b514439b2b10977494814f53ede59b5ad5221a50944bdbc6c858ee
2,01_phap_quy/002_Bo_luat_Lao_dong_45-2019-QH14.pdf,.pdf,01_phap_quy/002_Bo_luat_Lao_dong_45-2019-QH14.docx,converted_pdf_text_layout,36980,a0c0fcc3b9e040bcdcab70191f0ab95952183be94a6f5bc6424e8d3e85697139,ea26473b313f8db310d461ba9471d1548d284956ba2ec2bc8dcd473aae054c27
3,01_phap_quy/003_Luat_Doanh_nghiep_59-2020-QH14.pdf,.pdf,01_phap_quy/003_Luat_Doanh_nghiep_59-2020-QH14.docx,converted_pdf_text_layout,116194,909d1da77ead7b5db5e4c3ddcae5e9aeb74405af75ed5a56c30eb7a24ca39060,1b4dc67eabf8b42883c9a1ec3774b8e352f0201ca46bf055fac951b364f623fc
4,01_phap_quy/004_Luat_Dau_tu_61-2020-QH14_EN.pdf,.pdf,01_phap_quy/004_Luat_Dau_tu_61-2020-QH14_EN.docx,converted_pdf_text_layout,78416,2ab375abcfd1080e6a06609740225352ca1f6497cbb50aa808df56c9ad859a08,047397a8c990474a90ee364f15676ee1bfcb184596da8a6102803630fc35ac3f
5,01_phap_quy/005_Luat_Dau_thau_22-2023-QH15_EN.pdf,.pdf,01_phap_quy/005_Luat_Dau_thau_22-2023-QH15_EN.docx,converted_pdf_text_layout,90235,7639a1046fe094a03103b8974e95112f84709533106e9b80cbcffd0fdec0b945,018430088775cb635b7c23413d59dd2e39d0dc79f0f101be437b85cfb828a289
6,01_phap_quy/006_Luat_Dat_dai_31-2024-QH15.pdf,.pdf,01_phap_quy/006_Luat_Dat_dai_31-2024-QH15.docx,converted_pdf_text_layout,84142,2558044082ee768192a311aee548eb9fae4daada546013aa5181eb91c8842637,8eb21e8c77ce1d0fac418fcbb6a80cc3610d068cd78452720c5246cd13ab4763
7,01_phap_quy/007_Luat_Nha_o_27-2023-QH15.pdf,.pdf,01_phap_quy/007_Luat_Nha_o_27-2023-QH15.docx,converted_pdf_text_layout,88223,c647b16e5570e74ade61f6fc23128f8d878a81d979753f95160579cb5a3fb907,775a8c1ac3f8228a7655a36fd6f2b8a57a152392114ce99b723c276706e0a2b1
8,01_phap_quy/008_Luat_Kinh_doanh_BDS_29-2023-QH15.pdf,.pdf,01_phap_quy/008_Luat_Kinh_doanh_BDS_29-2023-QH15.docx,converted_pdf_text_layout,70010,a4399dc8e26063d753ecdf96e5833cfb573ad9265c3e74ab86e3e6f51ce00063,5cf7f71f34a2890635b38cd7be913abfe82b0c9f00262ad40b79fd3cb0ee7a02
9,01_phap_quy/009_Luat_Giao_dich_dien_tu_20-2023-QH15.pdf,.pdf,01_phap_quy/009_Luat_Giao_dich_dien_tu_20-2023-QH15.docx,converted_pdf_text_layout,53423,2458d01d6453cd11ab7aaddbae36e988110754bcb53a59eda729987a63882914,d9cee5d1149cd4d4ddd559f156d866fe9f15107f342eb74cd32920e59487ca11
10,01_phap_quy/010_Luat_An_ninh_mang_24-2018-QH14.pdf,.pdf,01_phap_quy/010_Luat_An_ninh_mang_24-2018-QH14.docx,converted_pdf_text_layout,54371,7ba6b742325359b442b4e5a7a905defba286eedb39210f59a1d8983d3d916a4a,17a80ab271b5b6e190673a297d1575bae0e85d0a33df22a1d9cc5a710079b13d
